,fiscal_year,year,parent_id,classification_description,Sequence_Level_Number,current_fiscal_year_to_date_gross_outlays_amount,parent_cls_desc,parent_class_helper,subclass_helper
0,2015,2015,,Legislative Branch:,1,,Legislative Branch:,1.0,0.0
1,2015,2015,15697762.0,Senate,2,856406080.0,Legislative Branch:,,1.0
2,2015,2015,15697762.0,House of Representatives,2,1233403136.0,Legislative Branch:,,1.0
3,2015,2015,15697762.0,Joint Items,2,17718686.0,Legislative Branch:,,1.0
4,2015,2015,15697762.0,Capitol Police,2,342653344.0,Legislative Branch:,,1.0
5,2015,2015,15697762.0,Congressional Budget Office,2,46064600.0,Legislative Branch:,,1.0
6,2015,2015,15697762.0,Architect of the Capitol,2,537901184.0,Legislative Branch:,,1.0
7,2015,2015,15697762.0,Library of Congress,2,603266560.0,Legislative Branch:,,1.0
8,2015,2015,15697762.0,Government Printing Office,2,101315192.0,Legislative Branch:,,1.0
9,2015,2015,15697762.0,Government Accountability Office,2,521235328.0,Legislative Branch:,,1.0
10,2015,2015,15697762.0,United States Tax Court,2,51710128.0,Legislative Branch:,,1.0
11,2015,2015,15697762.0,Other Legislative Branch Agencies,2,54890268.0,Legislative Branch:,,1.0
12,2015,2015,15697762.0,Proprietary Receipts from the Public,2,,Legislative Branch:,,1.0
13,2015,2015,15697762.0,Intrabudgetary Transactions,2,-6924059.0,Legislative Branch:,,1.0
14,2015,2015,15697762.0,Offsetting Governmental Receipts,2,,Legislative Branch:,,1.0
15,2015,2015,15697762.0,Total--Legislative Branch,2,4359640576.0,Legislative Branch:,,1.0
16,2015,2015,,Judicial Branch:,1,,Judicial Branch:,2.0,0.0
17,2015,2015,15697817.0,Supreme Court of the United States,2,83643560.0,Judicial Branch:,,2.0
18,2015,2015,15697817.0,"Courts of Appeals, District Courts, and Other Judicial Services",2,7368089600.0,Judicial Branch:,,2.0
19,2015,2015,15697817.0,Other,2,437655008.0,Judicial Branch:,,2.0
20,2015,2015,15697817.0,Proprietary Receipts from the Public,2,,Judicial Branch:,,2.0
21,2015,2015,15697817.0,Intrabudgetary Transactions,2,-614588928.0,Judicial Branch:,,2.0
22,2015,2015,15697817.0,Total--Judicial Branch,2,7274799104.0,Judicial Branch:,,2.0
23,2015,2015,,Department of Agriculture:,1,,Department of Agriculture:,3.0,0.0
24,2015,2015,15697840.0,Agricultural Research Service,2,1115747328.0,Department of Agriculture:,,3.0
25,2015,2015,15697840.0,National Institute of Food and Agriculture:,2,,Department of Agriculture:,,3.0
26,2015,2015,15697848.0,Research and Education Activities,3,742382976.0,Department of Agriculture:,,3.0
27,2015,2015,15697848.0,Extension Activities,3,473178912.0,Department of Agriculture:,,3.0
28,2015,2015,15697848.0,Other,3,109006432.0,Department of Agriculture:,,3.0
